AB膠	abbh
ngang-ngang聲	ngangnganggj
ngek-ngek	ngekngek
ngok-ngok脆	ngokngokbu
on9仔	onod
OK	ok
OL	ol
OL	ol
over機	overdi
O記	oyu
OEM	oem
O型腿	omgbv
OK	ok
OK繃	okvb
OK鏡	okcu
OP	op
OT	ot
O仔	ood
O咀	orm
O嘴	orb
Parkour	parkour
part-time	parttime
Petpet	petpet
pat-pat	patpat
pet-pet	petpet
P	p
PR	pr
PR	pr
pH值	phom
PE	pe
PE褲	pelj
PE衫	pelh
PE堂	pefg
PK	pk
P民	prp
P牌	plj
PC	pc
P相	pdu
PTU	ptu
P圖	pww
PG指引	pgqanl
Print野	printwn
Print嘢	printrn
來貨價	doococ
PG	pg
pick-up	pickup
Push	push
pu你阿麼	puofnrii
Q	q
QR-code	qrcode
Q版	qxe
QQ	qq
QC	qc
Quali	quali
R	r
R講	ryb
R晒頭	rawmc
RAM	ram
Roll機	rolldi
sharp醒	sharpmm
sub仔	subod
Seven	seven
Seven	seven
set頭	setmc
si-li-sir-lur	silisirlur
small-potato	smallpotato
sink盤	sinkht
sit-up	situp
sorry囉	sorryrg
short-short哋	shortshortrd
Short總掣	shortvphq
short總掣	shortvphq
tup車	tupjj
thank-you	thankyou
touch-wood	touchwood
T-back	tback
TB	tb
T尺	tso
TA	ta
T骨	tbb
T骨牛扒	tbbhqqc
T骨扒	tbbqc
T恤	tpt
T裇	tlt
T字褲	tjdlj
T字帳	tjdlv
take嘢	takern
toffee糖	toffeefr
toffee糖	toffeefr
talk得	talkhi
un-un腳	ununbl
un-un吓	ununry
un-un下	ununmy
un腳	unbl
un身un勢	unhhungs
U凸內褲	ubsoblj
UFO	ufo
UFO	ufo
USB	usb
USB記憶棒	usbyuppdq
USB手指	usbqqa
UNO	uno
U型枕	umgdu
U形轉彎	umhjivn
UNO	uno
U盤	uht
van仔	vanod
van仔	vanod
VR	vr
VR	vr
V溝	veb
V領	voc
VCD	vcd
Wet	wet
Wet場	wetgh
wet場	wetgh
Wet妹	wetvd
wet妹	wetvd
We哇鬼叫	werghirl
We-We-Wet-Wet	wewewetwet
WeWeWetWet	wewewetwet
WP	wp
win-place	winplace
XO	xo
X	x
X光	xfu
XO醬	xovw
Yap	yap
Yen	yen
Yeast	yeast
Yo	yo
YouTube	youtube
YouTuber	youtuber
Y	y
YP仔	ypod
Z	z
Z	z
亞head	mmhead
阿head	nrhead
阿Q	nrq
阿Q正傳	nrqmmoi
亞sir	mmsir
阿sir	nrsir
阿ger	nrger
呃like	rulike
啱key	rrkey
巴比Q	auppq
芭比Q	tuppq
巴X閉	auxah
巴X閉	auxah
巴K閉	aukah
巴Q閉	auqah
白sai-sai	hasaisai
扮cool	qhcool
爆seed	feseed
弊家leu	ftjoleu
扁pat-pat	xtpatpat
波boot	eeboot
背多fun	lbnifun
半lang-kang	fqlangkang
叉lunch	xilunch
踩roller	rdroller
齊B短裙	yxbotlr
齊B小短裙	yxbncotlr
柒fing-fing	xdfingfing
車cam	jjcam
扯lin旗	qmlinyc
青BB	qbbb
吹BB	robb
出TRIP	uutrip
出cheat	uucheat
出籠liu	uuhpliu
出pool	uupool
出show	uushow
青BB	qbbb
青山open-day	qbuopenday
鋤大D	cskd
鋤D	csd
坐box	ogbox
唱卡啦OK	rayyrtok
唱卡啦OK	rayyrtok
唱K	rak
打boxing	qnboxing
打999	qn
打card	qncard
打J	qnj
大M	km
大sir	ksir
大V	kv
單T	rjt
搭van仔	qrvanod
低B	oib
低B仔	oibod
等到2046	himn
對lin好大	tilinvdk
啲fd	rifd
啲friend	rifriend
跌watt	rowatt
跌watt	rowatt
哆啦A夢	rnrtatn
賭J	baj
賭jer	bajer
動L	hsl
塊gap	gigap
發T騰	netbf
發ti騰	netibf
發t籐	nethe
發t騰	netbf
分AB	chab
貨van	ocvan
呼吸plan	rdreplan
符fit	hifit
格格jel-jel	drdrjeljel
夾band	koband
搞串個party	qbllorparty
搞寸個party	qbdiorparty
攪串個party	qullorparty
攪寸個party	qudiorparty
搞寸個party	qbdiorparty
攪gag	qugag
攪爛gag	qufwgag
夠power	nrpower
夠pop	nrpop
雞nan1	bgnan
㓤㓤friend	gngnfriend
拮拮friend	qrqrfriend
鳩fing-fing	kffingfing
夠quali	nrquali
夠power	nrpower
見board	buboard
講爛gag	ybfwgag
攰lai-lai	jslailai
谷M	crm
果jam	wdjam
行Q開	hnqat
考IQ	jsiq
喺邊度Wet	rfysiewet
起pok	gupok
輕keng	jmkeng
去hea	gihea
去K	gik
去social	gisocial
去soso	gisoso
去wet	giwet
何B仔	orbod
開Band	atband
開check	atcheck
開cheque	atcheque
開OT	atot
開party	atparty
開P	atp
開turbo	atturbo
好friend	vdfriend
好grade	vdgrade
好high	vdhigh
好Yeah	vdyeah
好啱key	vdrrkey
好pay	vdpay
空liu-liu	jmliuliu
紅A	vma
紅van	vmvan
圈a	wua
踩roller	rdroller
一筆OUT銷	mhqoutcb
一Q清袋	mqebov
一Q清枱	mqebdr
一take過	mtakeyr
休孖day	odndday
郵chop	hlchop
有D驚	kbdtf
有feel	kbfeel
有符fit	kbhifit
有heart	kbheart
有point	kbpoint
有say	kbsay
有so	kbso
有taste	kbtaste
異維A酸	wcvgame
完sem	jusem
粵B	hsb
粵C	hsc
粵D	hsd
粵F	hsf
粵A	hsa
粵E	hse
粵G	hsg
卡啦OK	yyrtok
卡拉OK	yyqtok
卡啦OK	yyrtok
卡拉OK	yyqtok
攬belt	qubelt
爛gag	fwgag
嚟M	rem
甩cut	bucut
甩甩cut-cut	bubucutcut
嚟M	rem
靚kent	qukent
𡃁kent	kent
籮Pet	hgpet
落D	trd
落Pub	trpub
碌card	mecard
碌Ling	meling
碌ling	meling
綠van	vevan
籠liu	hpliu
唔do	xrdo
唔夠quali	xrnrquali
孖B	ndb
孖B車	ndbjj
孖Q	ndq
孖T	ndt
麻Q煩	icqfc
買full鐘	wcfullcg
民族LOOK	rpyklook
美國51區	tkwmsr
冇符fit	xbhifit
冇啦lun	xbrtlun
冇mood	xbmood
冇point	xbpoint
冇say	xbsay
淋bat-bat	edbatbat
女keeper	vkeeper
呃like	rulike
啱feel	rrfeel
啱feel	rrfeel
啱key	rrkey
奀chichi	mkchichi
我唔do	hixrdo
昂坪360	algj
昂坪360	algj
戇dog-dog	xpdogdog
戇dog-dog	xpdogdog
戇qq	xpqq
柯P	drp
派grade	evgrade
劈K	shk
蒲bar	tbbar
蒲D一族	tbdmyk
沙pok	ehpok
沙pop	ehpop
嘥gas	rogas
三P	mmp
三C	mmc
三T	mmt
刪post	bnpost
散band	tkband
生cancer	hmcancer
細N	vwn
心up	pup
新beyond	ylbeyond
十四K	jwck
實Q	jcq
蛇gwe	lpgwe
死lur冇用	mplurxbbq
石Q	mrq
士die佬	jmdieop
識do	yado
食人唔lur骨	ovoxrlurbb
食mum-mum	ovmummum
食mon-mon	ovmonmon
食port	ovport
食tea	ovtea
傻B	oeb
傻X	oex
傻gap	oegap
騷quali	siquali
騷quali	siquali
掃chord	qbchord
鬆pat-pat	sipatpat
船P	hrp
撻Q	qqq
吞pop	mrpop
騰訊QQ	bfyjqq
跳over	roover
條條fing	ododfing
玩串個party	mullorparty
玩SM	musm
玩SM	musm
玩SM	musm
玩LINE	muline
搵人唱卡拉OK	qtorayyqtok
揸fit	qmfit
揸fit人	qmfito
揸lift人	qmlifto
揸lift人	qmlifto
齋talk	yftalk
真人show	jcoshow
隻dup	xedup
隻dup	xedup
隻lin好大	xelinvdk
至IN	mgin
自high	huhigh
自po	hupo
煎pan	tfpan
接job	qvjob
照X光	afxfu
照X光	afxfu
做lab	oklab
做part-time	okparttime
做PR	okpr
做show	okshow
做gym	okgym
中途轉gay	lydjigay
中三T	lmmt
豬仔Plan	maodplan
豬仔Plan	maodplan
